Discipline,Power Name,Action Type,Description
Pyromancy,Wall Of Flame,"Basic, Continuous","Place a 5"" Blast marker so that its centre is anywhere that is both within 12"" and line of sight of this fighter. Once placed, this marker does not move but will remain in place while this Wyrd Power is maintained. Any fighter that either begins or ends their activation touching the marker suffers a Strength 3, Damage 1, AP 1 hit as if from a weapon with the Blaze trait."
Technomancy,Crack Lock,Basic,"Choose a single locked door that is within 18"" of this fighter. That door immediately becomes unlocked and open. Alternatively, this fighter may immediately open a Loot casket anywhere on the battlefield, choosing its contents rather than rolling randomly."
Technomancy,Hardening,"Basic, Continuous","While this Wyrd Power is maintained, this fighter improves their save rolls by 2 (to a maximum of 2+), or gains a 5+ save if they did not have a save before. However, while this power is maintained, this fighter must reduce their Movement by 1, to a minimum of 1."
Technomancy,Manipulate Door,Simple,This fighter may immediately open or close a single unlocked door anywhere on the battlefield.
Technomancy,Manipulate Lumens,Double,"The Pitch Black rules immediately come into effect, or immediately end if they were already in effect."
Technomancy,Overcharge,"Basic, Continuous","While this Wyrd Power is maintained, one ranged weapon carried by this fighter improves its Strength by 2 and its Damage by 1, but gains the Unstable trait."
Technomancy,Weapon Jinx,Simple,"Choose an enemy fighter that is within 18"" of this fighter. That enemy fighter must immediately make an Ammo check for one of their weapons, chosen by this fighter."
Telekinesis,Assail,Basic," Target a single enemy fighter or obstacle that is both within 12"" and line of sight of this fighter and make a hit roll, using this fighter’s BS. If a hit is scored, move the target D3"" in any direction – if they were Standing, they become Prone and Pinned after moving. If they come into base contact with a Standing fighter or any terrain, they stop moving and suffer a Strength 3, Damage 1, AP - hit. If they come into base contact with another fighter, that fighter also suffers a Strength 3, Damage 1, AP - hit and becomes Prone and Pinned."
Telekinesis,Crush,Basic,"Target a single enemy fighter or obstacle that is both within 12"" and line of sight of this fighter and make a hit roll, using this fighter’s BS. If a hit is scored, an obstacle is destroyed and removed from the battlefield, while an enemy fighter must make a save roll. If this save roll is successful, roll an Injury dice and immediately apply the result against the fighter."
Telekinesis,Dark Shield,Simple,+1 save modifier. Affects all friendly fighters within 3” (including the Psyker). Lasts until the End phase.
Telekinesis,Force Blast,Basic,"Any enemy fighters that are within 3"" of this fighter are immediately pushed D3+1"" directly away. If this movement would push a fighter from a platform or pitfall, stop them at the edge and take an Initiative test for them. If the test is passed, they are placed Prone at the edge. If the test is failed, they will fall. If this movement is interrupted by a wall or other impassable terrain, the fighter is immediately Pinned and takes a hit with a Strength equal to the number of inches rolled for the push distance."
Telekinesis,Force Field,"Basic, Continuous","While this Wyrd Power is maintained, this fighter and any friendly fighters within 3"" of them improve their save rolls by 1 or, if they do not have a save, gain a 6+ save roll."
Telekinesis,Hailstorm,Basic,"Immediately make a hit roll against every fighter, friend or foe, that is within 12"" of this fighter, using this fighter’s BS. Each hit scored is resolved at Strength 1, Damage 1 and AP -."
Telekinesis,Levitation,"Basic, Continuous","While this Wyrd Power is maintained this fighter’s Movement is increased by 3"" and they ignore all terrain, may move freely between levels without restriction, and can never fall. They may not, however, ignore impassable terrain or walls and may not end their movement with their base overlapping an obstacle or another fighter’s base. (Chaos Cult Witch also cannot be pinned.)"
Telepathy,Hallucinations,Basic,"Choose an enemy fighter that is within 12"" of this fighter. That fighter immediately becomes subject to the Insane condition."
Telepathy,Hypnosis,Basic,"Select an enemy fighter that is both within 9"" and line of sight of the Adept, and that has not been activated this turn. If the Willpower check to perform this action is successful, that fighter may only perform a single Move (Simple) action when activated this round."
Telepathy,Invisibility,"Double, Continuous","While this Wyrd Power is maintained, this fighter cannot be targeted by ranged attacks. If for any reason this fighter makes any action other than a Move (Simple) action or a Maintain Control (Simple) action, this power immediately ends."
Telepathy,Maddening Visions,Basic,"Until the End phase of this round, any enemy fighter who ends their turn within 3” must pass a Willpower test or gain Insanity."
Telepathy,Mental Assault,Basic,"Choose a single enemy fighter that is both within 12"" and line of sight of this fighter. Both this fighter and the target must make a Willpower check. If both checks are failed, or the target passes and this fighter does not, there is no further effect. If both this fighter and the target pass, or this fighter passes and the target fails, the target becomes Prone and Pinned (if possible) and loses their Ready marker."
Telepathy,Mind Control,Basic,"Genestealer Cult Adept: Select an enemy fighter that is within 9"" of the Adept. That fighter immediately makes a Shoot (Basic) action, even if they have already activated this round, targeting an eligible fighter from their gang, chosen by the Genestealer Cults player. Other (Basic, Continuous): Choose a single enemy fighter that is both within 9"" and line of sight of this fighter. That fighter immediately makes a Shoot (Basic) action, even if they have already activated this round, targeting an eligible fighter from their gang, chosen by this fighter."
Telepathy,Terrify,Double,"Choose a single enemy fighter that is both within 18"" and line of sight of this fighter. That fighter must immediately take a Nerve test with a -3 modifier applied to the roll or become subject to the Broken condition."
Telepathy,Unbreakable Will,"Basic, Continuous","Whenever a friendly fighter takes a Nerve test or makes a Willpower check whilst within 9"" of this fighter, they may use this fighter’s Cool or Willpower characteristic instead of their own."
Telepathy,Zealot,"Double, Continuous","Once per turn, when another fighter from the same gang that is within 9"" of the Adept makes a Fight (Basic) or Charge (Double) action, any dice that roll a 1 to hit may be re-rolled."
