Rule,Description,Additional Rules
Gang Hierarchy (Leader),"During a battle, once this fighter's gang has failed a Bottle test, during any End phase in which this fighter passes its Cool check and does not flee the battlefield, any friendly fighters with the same origin that are within 12"" of this fighter will automatically pass their Cool check and will not flee the battlefield.",
Gang Hierarchy (Champion),"During a battle, once this fighter's gang has failed a Bottle test, during any End phase in which this fighter passes its Cool check and does not flee the battlefield, any friendly fighters with the same origin that are within 6"" of this fighter will automatically pass their Cool check and will not flee the battlefield.",
Glitchy,"Hacked Cyber-mastiffs are somewhat more unpredictable than their standard counterparts. When a Hacked Cyber-mastiff activates, roll a D6. If the result is a 1, the Hacked Cyber-mastiff gains the Insane condition.","{'Conditions':{'Insane'}}"
Grapple,"If a Grapplehawk successfully hits a fighter with its Talons, it does not need to roll to hit that fighter again in subsequent activations or with Reaction attacks. Furthermore, these subsequent attacks count as having rolled a 6 to hit for the purposes of the Disarm and Entangle Traits.",
Group Activation (X),"When a fighter with this special rule is activated, their controlling player can choose to activate a number of additional Ready fighters with the same origin within 3"", up to the number shown in brackets. The controlling player must nominate all of the fighters who will be activated as part of the Group Activation before any of them is activated. Once they have been nominated, fighters are activated one at a time, not simultaneously. Additional fighters with this special rule may not themselves use this special rule during this activation.",
Grub's Up,"At the end of the Spend Experience step of the pre-battle sequence, roll a D6 for each of the gang’s fighters that is In Recovery. On a roll of 6, a constant supply of good food has helped them recover more quickly – the fighter’s In Recovery box on the gang roster is cleared, and they are now available for this battle.",
Gun-smith,"Fighters from the gang can re-roll any failed Ammo checks that roll a natural 1. The Ammo-jack does not have to take part in the battle for the gang to receive this bonus, but must be available. If the gang has N ammo-jacks, fighters can reroll ammo rolls of 1-N.",
Hard To Kill,"When suffering a Lasting Injury roll, roll twice and choose one result to apply.",
Hardcase,"Hardcase Cyber-mastiffs are completely cybernetic and thus very hard to kill. A Hardcase Cyber-mastiff counts as being equipped with light carapace armour and a respirator.","{'Wargear':{'CARAPACE ARMOR - LIGHT','Respirator'}}"
Heads Up,"During Skirmish play, a gang with a look-out may add 1 to the dice roll to determine which gang is the Attacker or Defender. Additionally, if a gang with a lookout is the Defender in a scenario that uses the Sneak Attack rules, add 1 to all rolls to determine if a Sentry spots an Attacker.",
High Calibre Hook-up."Treat all types of ammo as Common. In addition, any of these types of ammo that have the Limited trait replace that Trait with the Scarce trait.","{'Weapon Traits':{'Scarce'}"
Horrific,Can't be Captured.,
Hostile Environment,"In any scenario in which a gang that has a Cogitator Core Servitor is the defender, after both sides have deployed but before the first round, the gang may place D3 booby traps (frag, krak or melta) anywhere on the battlefield that is not within 6"" of an enemy fighter.",
Hot-headed,"Should a fighter with this special rule be Seriously Injured or be taken Out of Action, friendly fighters that are within 3"" do not have to take a Nerve test, unless they also have this special rule.",
Independent,"Must try to remain within 9"" of the owner (instead of 3"").",
Inured to Insanity,"This fighter can never be subject to the Insanity condition.",
Lands On The Feet,"-2 Strength to any falling damage.",
Last Rites,"If one of the gang’s Escher Gang Matriarchs or Escher Gang Queens is killed (i.e., rolls a Memorable Death result or a Critical Injury result and is not saved by the doc) then the player may roll a D6. If the result is equal to or lower than the number of advances the fighter has, the player may add a Death-maiden to their gang.",
Lobotomized,"When this fighter is hit by a ranged attack, they do not become Prone and Pinned. However, they cannot ever use a Take Cover (Basic) action.",
Long Leash,"Must try to remain within 12"" of the owner (instead of 3"").",
Loyal,"When this fighter assists a friendly fighter in a close combat attack, add 2 to the hit roll instead of 1.",
Loyal Protector,"While Standing (Active or Engaged) and within 3"" of its owner, enemy fighters may not make a Coup de Grace against the owner.",
Machine Madness,"All attacks have Reckless. After a target is Seriously Injured or taken Out of Action, roll 2+ or immediately gain Insanity.","{'Conditions':{'Insane'}}"
Medical Mechadendrites,"Doctor Arachnos’ medical mechadendrites allow him to turn any location into an impromptu operating theatre. During the Recovery phase, if Doctor Arachnos is within 3"" of a Seriously Injured friendly fighter, instead of making a Recovery check for the fighter, you can make an Intelligence check for Doctor Arachnos. If the check is successful, the fighter immediately recovers from their Serious Injury just as if they had rolled a Flesh Wound on the Injury dice. If the check is failed, the fighter goes Out of Action instead. Doctor Arachnos can only aid one fighter in this way each round.",
Mind in the Machine,"In any scenario in which a gang that has a Cogitator Core Servitor is the defender, the gang is able to exert tremendous control over the battlefield. At the end of any End phase, the gang may turn the lights on or off at will. If the gang chooses to turn the lights off, the Pitch Black rules immediately come into effect. If the gang chooses to turn the lights on, the Pitch Black rules immediately cease to apply.",
Mindless Beast,"The only actions a Chaos Spawn can make are Move, Charge, Fight, and Coup de Grace. It cannot use weapons or equipment. It passes all Willpower and Cool checks and fails all Leadership and Intelligence checks.",
Never More Than A Metre From A Rat,"If this fighter is removed (for example killed), it can be replaced for free (after the battle).",
Nimble,"This fighter has a save of 4+, which is never modified by Armour Penetration.",
Non-sanctioned Psyker,"Should a psyker with this skill be taken Out of Action, the enemy gang is rewarded a bounty of D3x10 credits at the end of the battle. Should a psyker with this skill be captured and sold to the Guilders, they are worth their full value. Note that when a psyker with this skill is captured, they can be sold immediately without the opportunity for a Rescue Mission.",
Omen of Fortune,"Whilst this fighter is within 3"" of its companion/owner, the companion/owner may avoid one successful hit per turn by making a successful Willpower test. Make the test immediately after a successful roll to hit has been made against the fighter. If the test is failed, the attack hits as normal. If the test is passed, the attack counts as having missed and the dice roll is discarded. Templates and Blast markers are placed as normal for the purposes of determining hits against other models, but the companion/owner is assumed to have somehow dodged clear.",
Overcharge,"A gang with a Grease Monkey can overcharge one of their Brutes, or the jump boosters of their Wreckers, during the pre-battle sequence. An overcharged Brute increases both its Movement and Attacks characteristics by D3 when it activates (roll once and apply the results to both characteristics). However, if a natural 1 is rolled when rolling the D3, the Brute suffers a wound with no save possible. An overcharged jump booster adds D6"" to the Movement of a Wrecker (roll each time the fighter is activated). If a natural 1 is rolled, then no extra Movement is gained and the Wrecker may only perform a single action during its activation, as they struggle to control their malfunctioning pack.",
Part of the Crew,"This Hanger-On is counted as a regular fighter for crew selection.",
Patch-Up,"Make 1 free Medical Escort per Rogue Doc in the post-battle sequence (in addition to normal Medical Escorts). However, a result of 6 on the table is treated as Stabilised rather than a full Recovery.",
Pious,"Can re-roll Rally tests if the result is 2 (before modifiers).",
Poison Blood,Toxin weapons can re-roll 1s before modifiers (against Toughness).,
Precognition,"This fighter has a 3+ save roll, which cannot be modified by Armour Piercing. Additionally, this fighter has a 4+ save against being caught by a Blast marker or Flame template. Leave the model where it is and assume that it has fluttered around to avoid the attack and returned to where it was.",
Psychic Manifestation,"Once per round, the owner can re-roll a failed Willpower test to perform a Wyrd Power (if the owner is a Psyker).",
Psychoteric Echo,"A gang with a Psychoteric Thrall can use it as the focal point when a friendly Delaque fighter performs a Wyrd Power action. Whilst this fighter is not Engaged or Seriously Injured, a friendly Delaque fighter that is within 12"" of this fighter may choose to channel a Wyrd Power through this fighter. That fighter makes a Willpower check as normal and, if a double 1 is rolled, it is that fighter that will suffer the effects of Perils of the Warp. However, the effect of the Wyrd Power is worked out from the model representing the Psychoteric Thrall, rather than from the model representing the fighter. In other words, line of sight, distance, range and so forth are all measured from the Psychoteric Thrall, not from the fighter using the Wyrd Power.",
Psychoteric Mastery,"When a friendly Psyker uses a Psychoteric Wyrd Power (Darkness, Delusion or Madness), up to 3 other Active friendly Faction fighters within 3"" of the Psyker can give 1 modifier each in all of the following situations: Increased Range: +1"" range to any Psychoteric Wyrd Power (max +3""). Harder to resist: -1 modifier to enemy Intelligence tests to resist any Psychoteric Wyrd Power (min -3).",
Psychoteric Node,"While this pet is Active or Pinned (not Seriously Injured), the owner can channel Wyrd Powers through this fighter. The Psyker suffers any Perils of the Warp (as normal). Range, distance & LOS is measured from this pet.",
Psyker,"Gyrinx Cats are psykers and follow all the rules for psykers and using psychic powers. At the start of each game, randomly determine a psychic power for the Gyrinx Cat from the universal Wyrd Powers table.",
Rake Away,"At the end of the activation, if the owner is Active or Pinned, a Willpower test can be made. If passed, make a free Move (Simple) action, or Retreat (Basic) action if Engaged, directly towards the owning fighter.",
Rat Cunning,"Rats are among the most resilient organisms on Necromunda, and they have a sixth sense when it comes to their environment. A canny fighter learns how to read the mood of their rats and react to danger accordingly. A fighter with at least one Necromundan Giant Rat gains a special 5+ save against damage from environmental effects. Take this save before any other kind of save. Alternatively, a fighter may sacrifice one of their rats to completely ignore damage from an environmental effect. The Necromundan Giant Rat is then removed from the gang's roster.",
Really Glitchy,"In each activation, roll a 2+ or gain Insanity. When taken Out of Action, before rolling for any Lasting Injuries, roll a 2+ or it is removed from the gang’s roster.",{'Conditions':{'Insane'}}
Righteous Warrior,"Once per battle, can re-roll a Threshold test to perform an Act of Faith (all dice must be re-rolled).",
Rule of Iron,"When this fighter is activated, 1 visible Faction fighter within 6” gains the Nerves of Steel skill (if not already having it). +2 modifier to any Bottle test while at least one friendly fighter with this ability is on the battlefield.","{'Skills':{'Nerves Of Steel'}}"
Runaway,"This fighter is worth an additional D6x10 credits when captured and sold to the Guilders.",
Sanctioned Psyker,"A psyker with this skill may re-roll a failed Willpower test once per battle.",
Scout Ahead,"Whenever a fighter from a gang with a Dome Runner opens a Loot casket, they may choose to re-roll the D6 to determine what the contents are.",
Scout Drone,"Techmite Oculi can range further from Urson Grimjarl than most Exotic Beasts. Techmite Oculi must remain within 18"" of Urson Grimjarl rather than 3"".",
Security Measures,"In any scenario in which a gang that has a Cogitator Core Servitor is the defender, any fighter belonging to the enemy gang must apply an additional -1 modifier to their Intelligence check when making an Access Terminal (Basic) action or a Bypass Loot Casket Lock (Basic) action.",
Sensor Array,"If within 3"" when the owner makes an Intelligence test (for any reason), roll an extra D6 and pick a dice to discard.",
Sermon,"A gang with a Hive Preacher may roll a D6 at the end of any pre-battle sequence and add this many Faith dice (see House of Faith p97) to their Faith dice pool. In addition, if a Hive Preacher is on the battlefield and not Seriously Injured, then they count as three fighters when determining the number of Cawdor fighters generating Faith dice in the End phase.",
SKIMMER,"Ignore all difficult & dangerous terrain. If ending an activation on difficult or dangerous terrain, pass a Handling test or suffer a Catastrophic hit to the Drive.",
Slow-witted,"This fighter cannot be activated as part of a Group Activation.",
Small Target,"Ranged attacks against this fighter are made at -1 to hit. In addition, this fighter is never a potential target when working out the effects of a Stray Shot.",
Solitary Hunter,"Cannot benefit from or grant assists.",
Steady Supply,"Treat all Chems as Common availability. In addition, can buy a single dose or any Chem, or items containing Chems (e.g. stimm-slug stash or medicae kit), without spending any credits. However, during the post-battle actions step of the postbattle sequence, the gang must pay for these items.",
Stealthy,"-1 hit modifier when targeted by ranged attacks.",
Surplus Ammo,"Ragnir will always provide a surplus of ammunition before heading into action. Should he be deployed as part of a starting crew, Ragnir’s controlling player may deploy D3 ammo caches.",
Swoop,"Grapplehawks can range further from their owners than most Exotic Beasts. A Grapplehawk must remain within 9"" of its owner rather than 3"".",
Symbol of Renown,"So long as a gang Leader is accompanied by a Caryatid, that gang's Reputation is increased by +1. However, should the Caryatid ever be killed, or should it ever abandon its companion, the gang's Reputation will be reduced by -2.",
Target Paint,"Whilst a Techmite Oculi is within 6"" of an enemy model, Urson Grimjarl reduces any negative to hit modifiers due to cover by 1.",
Tech Bypass,"A Techmite Autoveyor may perform the Bypass Loot Casket (Basic) action and when rolling to determine the contents, the dice may be re-rolled.",
Tenacious,"If taken Out of Action while not yet activated this round, this fighter is not removed from the battlefield until after completing its activation.",
Terrifying,"Pass a Willpower test to target this fighter with a Fight (Basic) or Shoot (Basic) action, or the action ends immediately (wasted). However, the action does not count as being performed, so the same action can be attempted again, if the fighter has more available actions in the activation.",
The Path We Follow,This fighter must choose a Path of Faith when they are added to the gang. (see House of Faith pages 97-105),
Threat Response,"(Cephalopod Spekter Special Rule) When the owner is taken Out of Action, all enemy fighters within D6” of this pet suffer a Strength 1 automatic hit with Seismic (always Pinned, no save roll if the wound roll is a 6 before modifiers).",
TRACKED,Ignore movement penalties when moving over difficult terrain.,
Training,"A gang with a Brute Handler can train their Brutes between games. In addition, if a Standing and Active Brute Handler is on the battlefield, and within 3"" of a friendly Brute, the Brute gains the Nerves of Steel skill and can re-roll any Leadership, Cool, Willpower or Intelligence checks it is required to make.","{'Skills':{'Nerves of Steel'}}"
Transport Cage,"While embarked in a transport cage, a fighter is treated as if they are not on the battlefield, so cannot be the target of any attacks or use any abilities. If any fighters are embarked on a vehicle when it is Wrecked, they must be placed Prone within 1"" of the vehicle’s final position and then suffer a S4, AP -, D1 hit. Any fighter that cannot be placed in this way is taken Out of Action – immediately make a roll on the Lasting Injury table for them. All friendly fighters can perform the Embark (Basic) and Disembark (Basic) actions.","{'Actions':{'Embark','Disembark'}}"
Unstable Platform,Fighters may not perform the Aim (Basic) action or fire weapons with the Unwieldy trait while they are embarked in a Transport Cage with Fire Points.,
Untamed,"All attacks have Reckless (only has unarmed attack).","{'Weapon Traits':{'Reckless'}}"
Valuable,"(Ambot): If Captured and not rescued, it can be sold as normal or added to the gang for free (if having sufficient Reputation to take an extra Hanger-on). (Scrapcode-Corrupted Ambot): If Captured and not rescued, the capturing gang has the following options depending on alignment: Law Abiding: Sold as normal. Outlaw: Sold for full cost (Black Market). Added to the gang for free (if having sufficient Reputation to take an extra Hanger-on).",
Vehicle Crew,This fighter must always be equipped with a vehicle.,
Venomous Bite,"If hitting on a 6 (before modifiers), apply Toxin.","{'Weapon Traits':{'Toxin'}}"
Vox Hack,"Silberlant Sevos can perform the Gather Intelligence (Double) action.","{'Actions':{'Gather Intelligence'}}"
WALKER,"Make any amount of turns during an activation. For every 1"" a walker moves through difficult terrain, it counts as having moved 2"".",
Wall Scuttler,"When this fighter climbs, the distance they move is not halved. In other words, they always count as climbing up or down a ladder.",
Warped Monstrosity,"Chaos Spawn cannot be Pinned and will never become Broken or Insane. Any Flesh Wound or Serious Injury results on an Injury roll are ignored. If one is taken Out of Action, it does not suffer a Lasting Injury, but is automatically restrained. (see Out of Control, Book of Ruin p29).","{'Conditions':{'Broken','Pinned'}}"
Watchdog,"If the owner is a sentry, attackers can be spotted outside the vision arc. Add 1+ modifier to spotting (a 1 before modifiers still fails).",
WHEELED,"For every 1"" a wheeled vehicle moves through difficult terrain, it counts as having moved 2"".",
Witch,"This fighter is a Non-Sanctioned Psyker and counts Chaos Cult Wyrd Powers as Primary skills.","{'Special Rules':{'Non-Sanctioned Psyker'}}"
