Wargear Name,Description
MESH ARMOR,Mesh armour grants a 5+ save roll.
REFLEC SHROUD,"A reflec shroud grants its wearer a save of 5+. The wearer also counts the AP of las, plasma and melta weapons as ‘-’ regardless of their actual AP."
SCRAP SHIELD,"A fighter can be equipped with a scrap shield in addition to a suit of armour. The scrap shield offers no protection against ranged attacks, but while Standing and Engaged, the fighter increases their save by 1 against Reaction attacks."
ARMORED BODYGLOVE,+1 Save. Ignores the effects of Rad-phage. Can be combined with other armour.
ARMORED UNDERSUIT,"If a fighter is wearing an armoured undersuit, their save roll is improved by 1. For example, if they are wearing flak armour and an armoured undersuit, they would have a 5+ save, which would be increased to 4+ against Blasts. If a fighter does not already have a save roll, an armoured undersuit grants a 6+ save."
FURNACE PLATES,6+ save (5+ in the front vision arc).
Hardened Flak Armor,6+ save (5+ against Blast/Template). Reduce the AP by 1 (to a minimum of -1).
Layered Flak Armor,5+ save (4+ against Blast/Template).
Hardened Layered Flak Armor,5+ save (4+ against Blast/Template). Reduce the AP by 1 (to a minimum of -1).
PLATE MAIL,"Plate mail grants a 6+ save roll. This is increased to a 5+ save roll against attacks originating within the fighter’s vision arc (the 90° arc to their front); check this before the fighter model is placed Prone and is Pinned. If it is not clear if the attacker is within the fighter’s front arc, use a Vision Arc template to check – if the centre of the attacker’s base is within the arc, use the 5+ save roll. Against attacks with the Blast trait, plate mail always grants a 5+ save roll."
CONVERSION FIELD,"When a fighter wearing a conversion field is hit by an attack, roll a D6. On a 5+, the conversion field works and the attack has no further effect. However, any fighters, friend or foe, within 3"" of the wearer count as being hit by a weapon with the Flash trait as the field flares up in a tremendous burst of light. Note that the wearer is unaffected by this flash of light as they are inside the field."
DISPLACER FIELD,"For each hit a fighter wearing a displacer field suffers, roll a D6. On a 4+, the fighter is protected from harm by the field and the hit is ignored (even if any part of the fighter is still under the template – if the attack used one – after being displaced as described below). If a fighter is saved from one or more hits by a displacer field, they will be moved once as the field displaces them. The fighter is moved a number of inches equal to the Strength of the attack in a random direction, determined by rolling a Scatter dice. A displacer field will not deposit its wearer inside a terrain feature – the fighter will move by the shortest route possible so that it can be placed clear of any impassable terrain features. Similarly, the fighter’s base cannot overlap another fighter’s base and the wearer must be moved by the shortest route possible until its base can be placed without overlapping. Note that the wearer may not end up within 1"" of an enemy fighter as a result of being displaced and must be moved by the shortest possible route so that they can be placed 1"" away. If a fighter wearing a displacer field is transported off the battlefield, they immediately go Out of Action. Do not roll on the Lasting Injury chart, they are automatically Out Cold. If an attack does not have a Strength value, then a displacer field cannot work against it."
REFRACTOR FIELD,"When a fighter wearing a refractor field is hit by an attack, roll a D6. On a 5+, the hit is ignored. However, should the field work and the hit be ignored, roll another D6. If the result is a 1, then the field has been overburdened by the attack and its generator is burned out. Remove the refractor field from the fighter’s card – it no longer works."
