Wargear Name,Description,Additional Rules
BOARDING RAMP,A fighter attempting to jump from a vehicle fitted with a boarding ramp to another vehicle within 3" adds 1 to its Initiative check.,
BODY SPIKES,"Any time a fighter moves on a vehicle fitted with body spikes (except when moving on a Transport area), they must make an Initiative test. If failed, they suffer an automatic S3, AP -, D1 hit. This attack does not pin them.",
BOOBY-TRAPPED FUEL TANKS,"If a vehicle fitted with booby-trapped fuel tanks is Wrecked, roll a D6 every time a fighter moves within 3"" of it. On a 5+ the vehicle explodes; every model within 5"" takes a S6, AP -1, D1 hit with the Blaze trait. Once it has exploded, a vehicle equipped with booby- trapped fuel tanks is removed from the battlefield and must then roll on the Lasting Damage table (apply this result in addition to the result rolled when the vehicle was wrecked).",
CALTROP LAUNCHER,"A vehicle fitted with a caltrop launcher may make the Lay Caltrops (Basic) action. Lay Caltrop (Basic): The vehicle moves forwards in a straight line up to its Movement characteristic; no turns may be made. At any point during this move, up to three markers can be placed on the battlefield within the vehicle’s Rear arc and within 1"" of the vehicle. Any time a vehicle with the Wheeled special rule moves within 1"" of a caltrop marker, they must make a Loss of Control test with a -2 modifier.",
FLARE LAUNCHERS,"A vehicle fitted with flare launchers may perform the Launch Flares (Basic) action. Launch Flares (Basic): All models, including this vehicle, within 12"" of this vehicle gain the Revealed condition until the start of the End phase.",
HEADLIGHTS,"A vehicle fitted with headlights can turn them on or off at the start of their activation; they remain in the selected state until their next activation. While they are on, all models within 12"", in Line of Sight and within the vehicle’s Front arc are Revealed. In addition, while the headlights are on, the vehicle equipped with them is also Revealed.",
KILL SWITCH,"If this vehicle is Wrecked as a result of a hit to the Engine, subtract one from the Lasting Damage table roll.",
MINELAYER,"One use only per battle. A vehicle fitted with a minelayer may make the Lay Mine (Basic) action. Each additional mine purchased allows the Lay Mine (Basic) action to be performed one extra time per battle.,"{'Actions':{'Lay Mine'}}"
SMOKE LAUNCHERS,"A vehicle fitted with smoke launchers may make the Launch Smoke (Basic) action.","{'Actions':{'Launch Smoke'}}"
WHEEL SCYTHES,"If a vehicle fitted with Wheel Scythes moves within 1"" of a model, that model takes a S3, AP -, D1 hit, and if they are a fighter they are Pinned.",
